Project, nEditSameMCChunks, nEditSameMCLines, nEditSameMC, nModifierList, nModifierListOM, nImplementList, nImplementListOM, nAddSameFd, nAddSameFdOM, nEditSameFd, nEditSameFdOM, nSameSignatureCM, nExtendsList, nExtendsListOM
atmosphere, 0.001650956, 2.701965E-4, 0.0022071911712353153, 0.0, 0.0, 0, 0, 6.321113E-4, 4.0998008668150404E-4, 1.806032E-4, 1.1713716762328687E-4, 6.882639136110122E-4, 0.0, 0.0
andlytics, 9.651048E-4, 1.439352E-4, 9.83739366934784E-4, 2.147305E-4, 2.9214139643587497E-5, 0, 0, 0.0, 0.0, 4.64792E-4, 3.5056967572304995E-4, 7.715602877919873E-5, 0.0, 0.0
auto, 3.628118E-4, 4.74665E-5, 3.8823643598951763E-4, 0.0, 0.0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
fastjson, 7.748935E-4, 1.343045E-4, 0.001128276340913036, 0.0, 0.0, 0, 0, 3.041363E-4, 1.4095426034251886E-4, 1.520681E-4, 7.047713017125943E-5, 4.7734768269397674E-4, 0.0, 0.0
clojure, 2.42436E-4, 3.49594E-5, 1.779612756264237E-4, 0.0, 0.0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
gephi, 5.91865E-5, 1.00489E-5, 7.522160681270215E-5, 0.0, 0.0, 0, 0, 3.53465E-5, 2.1916046929561824E-5, 0.0, 0.0, 7.91806387502128E-5, 0.0, 0.0
sikuli, 4.67333E-5, 7.3845E-6, 6.311935870731554E-5, 0.0, 0.0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
go-lang-idea-plugin, 5.55494E-5, 1.06573E-5, 7.158708568974158E-5, 0.0, 0.0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Equivalent-Exchange-3, 0.0011522895, 1.863707E-4, 0.0018048098181654107, 3.191829E-4, 5.491035883919501E-5, 0, 0, 0.0, 0.0, 0.0014602913, 0.0010707519973643027, 0.0, 4.336513E-4, 2.7455179419597507E-5
Conversations, 0.0016302334, 1.424972E-4, 8.861677273825828E-4, 0.0, 0.0, 0, 0, 0.0, 0.0, 8.53315E-5, 7.037297677691766E-5, 4.028035124466285E-5, 0.0, 0.0
dropwizard, 8.532132E-4, 1.666817E-4, 0.0010554980895484578, 0.0, 0.0, 0, 0, 0.0, 0.0, 1.83801E-4, 1.0262725779967159E-4, 0.0, 0.0, 0.0
