Project, Merge_Scenarios, Conflicting_Scenarios, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
andlytics,522,14,1,1,0,0,0,0,0,0,0,0,0,0,51,12,9,2,0,0,0,0,12,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,16
antlr4,619,27,0,0,0,0,0,0,0,0,0,0,0,0,142,13,22,0,1,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,60
async-http-client,230,11,0,0,0,0,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2
BroadleafCommerce,894,146,12,1,0,0,0,0,0,0,1,0,0,0,1061,619,224,141,7,0,0,0,51,15,0,0,47,2,0,0,0,0,0,0,0,24,2,3,0,4,0,16,0,0,0,230
cloudify,213,14,1,0,0,0,0,0,0,0,0,0,0,0,179,111,91,62,0,0,0,0,5,2,0,0,14,2,0,0,0,0,0,0,0,9,2,0,0,2,0,3,0,0,0,38
Essentials,572,12,0,0,0,0,0,0,0,0,0,0,0,0,32,4,4,1,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
k-9,396,30,1,0,0,0,0,0,0,0,1,0,0,0,447,320,40,25,0,0,0,0,12,5,0,0,5,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,103
lucene-solr,241,71,4,0,0,0,0,0,0,0,0,0,0,0,1628,218,256,66,16,0,0,0,47,0,0,0,125,16,0,0,30,0,0,0,0,18,5,11,5,22,0,68,6,6,0,524
okhttp,899,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
metrics,334,12,1,0,0,0,0,0,0,0,0,0,0,0,44,0,6,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,34
