Project,Merge Scenarios,Conflicting Scenarios
andlytics,522,10
antlr4,619,23
async-http-client,230,8
BroadleafCommerce,894,122
cloudify,213,7
Essentials,572,10
k-9,396,24
lucene-solr,241,65
okhttp,899,4
metrics,334,11
realm-java,1304,94
Spout,853,32
Hystrix,326,1
infinispan,23,3
jackson-databind,308,14
javaee7-samples,189,1
jedis,313,33
jeromq,139,0
jitsi,67,3
jmxtrans,177,1
ActionBarSherlock,126,6
Activiti,745,27
ambrose,135,4
AndEngine,115,8
Android-Universal-Image-Loader,87,5
AntennaPod,321,20
astyanax,173,2
atmosphere,278,15
auto,130,3
aws-sdk-java,83,3
blueprints,225,10
Bukkit,19,3
cgeo,1797,93
clojure,38,1
closure-compiler,161,1
commafeed,236,1
commons,205,0
Conversations,435,7
cucumber-jvm,540,33
curator,223,5
cxf,98,4
dagger,261,0
databus,58,2
droidparts,88,3
dropwizard,640,11
druid,1421,92
dynjs,197,4
eclipse-themes,57,0
elasticsearch,530,15
elasticsearch-river-mongodb,116,2
elephant-bird,360,21
Equivalent-Exchange-3,384,4
eureka,224,8
exhibitor,112,0
fastjson,86,14
FBReaderJ,1255,149
fitnesse,715,74
flyway,119,9
generator-jhipster,714,0
gephi,247,9
ghostdriver,88,1
gocd,656,7
go-lang-idea-plugin,71,1
graylog2-server,459,38
groovy-core,678,54
hbc,69,1
hector,414,34
HikariCP,125,15
hive,160,36
HoloEverywhere,84,1
jphp,91,3
jsoup,60,0
junit,377,27
Kundera,594,58
ListViewAnimations,117,2
logback,207,4
lombok,112,6
mct,199,7
mockito,104,5
mongo-hadoop,89,4
mongo-java-driver,182,17
mustache.java,124,4
netty,177,12
nokogiri,349,1
nutz,346,8
OpenRefine,94,3
OpenTripPlanner,636,68
orientdb,1188,74
Osmand,2860,35
picasso,332,1
processing,678,13
Rajawali,322,19
reactor,174,14
retrofit,358,2
roboguice,80,12
robolectric,1370,65
robospice,71,1
robotium,63,0
robovm,394,6
rootbeer1,106,6
rstudio,1358,35
rundeck,520,5
RxJava,1208,21
scribe-java,60,1
ShowcaseView,64,5
sikuli,97,1
SimianArmy,164,13
SlidingMenu,51,1
sms-backup-plus,64,5
solo,121,0
spring-boot,735,25
spring-integration-samples,83,0
StickyListHeaders,97,3
storm,917,18
tachyon,1241,69
titan,398,49
todo.txt-android,56,2
voldemort,475,43
vrapper,128,2
webbit,107,4
worldedit,73,6
yuicompressor,72,0
gradle,553,59
jenkins,1934,111
deeplearning4j,417,32
OG-Platform,4108,305
kotlin,499,33
cassandra,4188,747
